ID individuo;Codigo poblacion;Linaje;V_Largo;V_alto;V_ancho;Peso;Area_branquial;Area de palpos;Densidad de filamentos 
DCC4;DCC;largillierti;21,1;19,93;11,15;1,183;136,088061;32,310956;38,38406455
DCC5;DCC;largillierti;20,94;19,12;11,84;1,2148;117,310913;28,788144;25,43923281
DCC6;DCC;largillierti;20,64;18,97;10,85;0,8314;106,785779;26,169658;25,4654522
DCC7;DCC;largillierti;20,08;18,24;10,42;0,8518;125,965528;16,759476;24,30531758
DCC8;DCC;largillierti;18,98;17,54;10,27;0,8703;109,955191;21,749772;35,41978298
DCC9;DCC;largillierti;18,55;16,4;9,34;0,6038;164,854388;21,885344;20,51632031
DCC10;DCC;largillierti;18,38;16,12;9;0,6056;117,410559;15,540192;38,45553287
DCC11;DCC;largillierti;18,33;16,78;10,53;0,8267;103,586789;21,039908;43,68921423
DCC12;DCC;largillierti;18,2;16,3;9,24;0,5766;102,840293;22,365938;26,53750719
DCC13;DCC;largillierti;17,61;15,72;9,59;0,6018;100,880897;20,263232;30,31206361
DCC14;DCC;largillierti;17,45;15,84;9,4;0,5843;118,52286;19,348582;30,87959902
DCC15;DCC;largillierti;16,53;15,12;8,95;0,6298;88,988293;20,416374;30,17630399
DCC16;DCC;largillierti;16,52;15,04;9,19;0,5774;105,234982;19,168398;34,86896028
DCC17;DCC;largillierti;16,5;14,88;9,11;0,5405;85,602189;17,717906;29,46672909
DCC18;DCC;largillierti;16,07;14,67;8,77;0,51;96,05847;19,189216;25,4083545
DCC19;DCC;largillierti;15,66;14,5;8,89;0,5406;82,286755;18,659354;33,50340729
DCC20;DCC;largillierti;15,34;13,39;7,7;0,3426;73,994251;14,638384;30,55123284
DCC21;DCC;largillierti;14,24;12,83;7,87;0,3444;70,756214;13,831708;30,65396492
DCC22;DCC;largillierti;14,15;13,49;7,55;0,3414;73,660894;13,814178;24,01991632
DCC23;DCC;largillierti;14,11;13,23;7,48;0,3433;62,841198;14,38806;28,99923368
DCC24;DCC;largillierti;14;13,03;7,66;0,3606;66,870583;15,036002;30,49773322
DCC25;DCC;largillierti;14;13,11;7,6;0,2792;55,72398;10,926012;32,31233768
DCC26;DCC;largillierti;13,66;12,41;7,11;0,2853;67,746824;11,434428;27,21174155
DCC28;DCC;largillierti;13,26;12,16;7,16;0,3117;57,180332;15,941888;29,49649612
DCC29;DCC;largillierti;12,97;11,7;6,65;0,2331;57,189103;10,72238;32,01987628
DCC30;DCC;largillierti;12,82;11,13;6,4;0,184;75,919197;6,936588;23,30050997
BA1;BA;fluminea;14,23333333;13,07;9,89;0,8112;88,613249;12,24689;26,12408627
BA2;BA;fluminea;14,75333333;13,88;10,78;1,0718;99,59992;14,465162;29,17234004
BA3;BA;fluminea;14,02666667;12,81;9,78;0,8053;84,416427;13,436364;32,55876966
BA4;BA;fluminea;17,75;16,31;11,74;1,5504;126,344123;18,687832;33,30896485
BA5;BA;fluminea;18,06333333;17,38;13,18;1,7647;147,95118;22,748198;29,9716316
BA6;BA;fluminea;18,59666667;18,19;13,22;2,0878;155,484563;17,389072;37,79145562
BA7;BA;fluminea;14,54;12,8;9,39;0,6862;83,088333;11,95232;26,25696675
BA8;BA;fluminea;11,28666667;10,19;7,85;0,3931;56,396621;7,506754;25,98081544
BA9;BA;fluminea;12,06;10,89;8,1;0,4534;63,602824;8,48232;30,95592503
BA10;BA;fluminea;19,26333333;18,91;13,18;1,8993;160,520323;22,649874;29,94882751
BA11;BA;fluminea;12,07666667;10,12;7,99;0,3628;59,907772;8,08093;28,30707432
BA12;BA;fluminea;12,13;11,46;8,72;0,5797;65,537725;8,385928;28,91660241
BA13;BA;fluminea;12,12333333;11,29;8,65;0,5651;62,217078;7,394916;25,72915254
BA14;BA;fluminea;12,75333333;11,64;8,71;0,5339;71,844296;9,275092;29,38206267
BA15;BA;fluminea;19,58;18,03;13,29;2,0573;183,274438;15,072518;24,93018443
BA16;BA;fluminea;21,15333333;20,72;14,89;2,9631;185,568555;29,329862;29,91814558
BA17;BA;fluminea;17,33;16,14;11,46;1,407;146,492853;11,32488;24,90300045
BA18;BA;fluminea;17,35333333;17,01;12,33;1,643;135,398961;19,855612;29,49921044
BA19;BA;fluminea;15,33;14;10,42;0,9451;100,093923;14,749944;32,73685863
BA20;BA;fluminea;23,45333333;22,18;15,93;3,4798;243,869755;27,780036;25,92054967
BA21;BA;fluminea;22,99;22,01;15,23;3,3125;210,503086;28,37698;25,17894392
BA22;BA;fluminea;23,25666667;21,47;15,42;3,3068;215,018412;35,748908;26,51546276
BA23;BA;fluminea;22,83666667;20,19;13,87;2,2118;185,524577;31,755662;27,06734805
BA24;BA;fluminea;23,43666667;21,21;15,16;3,0637;207,842954;31,103944;29,5183742
BA25;BA;fluminea;23,45666667;22,72;15,82;3,462;210,160633;27,725958;23,71148742
BA26;BA;fluminea;13,08666667;12,14;9,12;0,646;66,017891;11,059626;27,16650114
BA27;BA;fluminea;15,19333333;14,19;10,44;0,9949;103,584686;16,028288;27,03939272
BA28;BA;fluminea;14,84;13,56;10,04;0,8666;83,954159;12,52634;24,48384442
BA29;BA;fluminea;16,10666667;15,17;11,14;1,1449;106,638271;17,432224;27,254977
BA30;BA;fluminea;14,89333333;13,72;10,04;0,904;94,517853;12,559382;27,41773592
